order_id,customer_id,order_date,product_id,quantity,unit_price,total_amount,order_status,payment_date
1,7021,2023-05-12,346,10,345.64,3456.40,Completed,2023-05-15
2,3847,2023-04-12,209,1,462.26,462.26,Completed,2023-04-15
3,1219,2023-04-11,427,10,15.12,151.20,Cancelled,
4,4406,2023-01-27,396,1,730.22,730.22,Pending,
5,8276,2024-10-01,59,3,139.56,418.68,Completed,2024-10-02
6,9622,2024-06-12,70,3,556.15,1668.45,Completed,2024-06-16
7,1260,2023-09-21,172,10,414.25,4142.50,Completed,2023-09-26
8,4337,2023-11-02,326,4,761.24,3044.96,Pending,
9,721,2024-03-12,77,7,34.53,241.71,Completed,2024-03-14
14352,7852,2024-12-27,125,9,478.82,4309.38,Completed,2025-01-02
11,7166,2024-07-15,458,5,935.23,4676.15,Completed,2024-07-16
12,615,2023-06-25,172,2,414.25,828.50,Completed,2023-06-27
13,7674,2023-07-13,76,5,865.95,4329.75,Completed,2023-07-19
14,8073,2024-09-24,242,8,592.95,4743.60,Completed,2024-09-30
15,7464,2023-03-10,235,9,283.11,2547.99,Completed,2023-03-10
16,8367,2023-09-15,354,3,151.34,454.02,Cancelled,
17,8247,2024-10-10,313,4,614.48,2457.92,Completed,2024-10-13
18,3130,2023-12-30,381,2,422.41,844.82,Completed,2024-01-01
19,898,2024-11-18,288,3,646.55,1939.65,Completed,2024-11-24
20,6314,2024-10-20,43,7,360.74,2525.18,Completed,2024-10-21
21,7311,2024-08-26,424,3,699.20,2097.60,Pending,
22,5332,2024-11-26,376,2,956.78,1913.56,Completed,2024-12-02
23,950,2024-03-04,452,9,855.93,7703.37,Cancelled,
24,6935,2023-03-31,398,2,82.79,165.58,Pending,
25,327,2023-01-02,284,5,201.95,1009.75,Completed,2023-01-02
26,9306,2024-02-05,93,8,619.35,4954.80,Pending,
27,3545,2023-01-22,388,7,274.79,1923.53,Pending,
28,6840,2023-08-12,118,4,666.36,2665.44,Pending,
29,9758,2023-02-15,332,6,618.65,3711.90,Completed,2023-02-21
30,8082,2023-12-15,220,1,264.39,264.39,Completed,2023-12-15
31,605,2024-11-26,174,1,815.42,815.42,Completed,2024-11-29
32,706,2023-07-11,214,10,610.98,6109.80,Completed,2023-07-11
33,5759,2024-03-17,500,6,418.26,2509.56,Cancelled,
34,5106,2024-08-22,410,2,587.68,1175.36,Completed,2024-08-26
35,1107,2023-09-25,433,3,877.97,2633.91,Completed,2023-09-26
36,6430,2023-01-14,25,6,862.16,5172.96,Completed,2023-01-14
37,7213,2024-08-18,205,2,151.68,303.36,Completed,2024-08-19
38,5088,2023-08-04,313,9,614.48,5530.32,Completed,2023-08-08
39,9993,2023-05-18,8,4,607.68,2430.72,Pending,
40,1535,2023-10-13,231,8,886.55,7092.40,Completed,2023-10-14
41,1949,2024-03-21,393,8,967.01,7736.08,Completed,2024-03-26
42,382,2023-10-13,497,1,735.43,735.43,Completed,2023-10-20
43,5555,2023-04-18,329,4,130.62,522.48,Completed,2023-04-25
44,5807,2023-07-01,331,3,579.29,1737.87,Completed,2023-07-01
45,8821,2024-02-08,127,9,965.06,8685.54,Completed,2024-02-11
46,9556,2024-03-10,31,4,493.71,1974.84,Completed,2024-03-16
47,7244,2024-02-10,436,6,337.37,2024.22,Completed,2024-02-15
48,3333,2023-03-18,396,6,730.22,4381.32,Pending,
49,4069,2023-10-19,133,8,824.10,6592.80,Completed,2023-10-21
50,8135,2023-04-18,1,9,643.02,5787.18,Completed,2023-04-25
51,8941,2023-08-01,23,1,168.37,168.37,Completed,2023-08-02
52,35,2023-09-13,60,1,19.21,19.21,Completed,2023-09-13
53,8238,2023-09-21,78,4,804.20,3216.80,Cancelled,
54,6636,2024-12-02,5,10,593.36,5933.60,Completed,2024-12-09
55,5694,2024-07-01,251,9,123.26,1109.34,Pending,
56,5793,2024-02-13,59,7,139.56,976.92,Completed,2024-02-13
57,8171,2023-09-24,451,7,903.85,6326.95,Completed,2023-09-24
58,4599,2023-10-23,115,10,441.47,4414.70,Pending,
59,6532,2024-03-20,368,2,375.21,750.42,Cancelled,
60,2316,2024-04-22,65,3,890.81,2672.43,Completed,2024-04-29
61,2167,2023-01-20,221,2,749.08,1498.16,Completed,2023-01-20
62,2776,2023-01-20,371,7,645.91,4521.37,Pending,
63,2951,2024-02-27,268,5,164.01,820.05,Completed,2024-03-03
64,9581,2024-12-25,73,2,51.40,102.80,Completed,2024-12-30
65,6277,2024-02-15,277,9,441.85,3976.65,Cancelled,
66,9440,2023-07-16,460,4,454.04,1816.16,Completed,2023-07-23
67,4497,2024-09-13,181,4,23.53,94.12,Cancelled,
68,8721,2023-08-27,22,3,99.99,299.97,Completed,2023-09-03
69,6728,2023-11-07,44,5,984.31,4921.55,Completed,2023-11-10
70,7229,2024-01-22,463,4,730.57,2922.28,Pending,
71,607,2024-06-08,318,1,61.65,61.65,Completed,2024-06-13
72,3650,2024-09-09,399,8,683.58,5468.64,Completed,2024-09-15
73,3541,2023-08-12,54,9,66.58,599.22,Completed,2023-08-14
74,9379,2023-06-12,9,1,973.37,973.37,Completed,2023-06-14
75,7983,2023-06-10,276,6,835.01,5010.06,Pending,
76,4840,2023-11-21,205,2,151.68,303.36,Completed,2023-11-23
77,1825,2024-05-18,387,7,519.82,3638.74,Completed,2024-05-18
78,8570,2024-02-23,477,10,414.17,4141.70,Completed,2024-02-23
