product_id,product_name,category,price,cost,stock_quantity,reorder_level
1,Sharable Bifurcated Algorithm,Books,643.02,199.34,250,38
2,User-Centric Even-Keeled Encryption,Clothing,148.13,50.51,604,64
3,Face-To-Face Client-Driven Support,Sports,41.45,13.99,517,87
4,Customer-Focused Systematic Support,Food,36.26,13.76,225,67
5,Quality-Focused Background Parallelism,Electronics,593.36,370.12,777,30
6,Optimized 5Thgeneration Algorithm,Home,701.15,305.77,220,53
7,Cross-Group Didactic Emulation,Beauty,111.18,50.25,867,54
8,Profit-Focused Real-Time Algorithm,Toys,607.68,378.49,549,25
9,Realigned Dedicated Structure,Books,973.37,439.39,849,90
10,Streamlined Tangible Moratorium,Sports,622.32,401.20,721,18
11,Operative Directional Knowledge User,Books,55.36,21.65,81,39
12,Reverse-Engineered Even-Keeled Workforce,Toys,867.81,392.29,650,56
13,Adaptive Well-Modulated Workforce,Books,171.02,75.61,718,97
14,Diverse Tangible Interface,Home,651.55,354.22,546,41
15,Mandatory Even-Keeled Collaboration,Sports,171.76,77.60,701,51
16,Extended Well-Modulated Graphical User Interface,Sports,844.41,515.43,841,14
17,Customer-Focused Background Implementation,Clothing,806.99,371.59,216,82
18,Cross-Platform Heuristic Hardware,Toys,877.59,373.74,405,92
19,Robust Empowering Workforce,Sports,464.25,188.46,762,81
20,Balanced Upward-Trending Knowledgebase,Food,543.58,325.50,919,84
21,Public-Key Bottom-Line Implementation,Home,405.40,157.19,521,73
22,Configurable Neutral Frame,Clothing,99.99,31.88,156,90
23,Self-Enabling Regional Hierarchy,Clothing,168.37,96.34,394,58
24,Re-Engineered Content-Based Strategy,Books,599.92,292.29,994,80
25,Cloned 6Thgeneration Protocol,Clothing,862.16,262.61,698,78
26,Focused Zero Administration Frame,Beauty,753.36,457.62,114,47
27,Configurable Discrete Attitude,Books,440.41,212.05,995,74
28,Multi-Tiered Even-Keeled Knowledgebase,Clothing,764.33,384.51,891,90
29,Sharable High-Level Complexity,Sports,305.45,169.70,156,57
30,Multi-Layered Heuristic Database,Electronics,764.88,394.49,613,51
31,Synchronized Encompassing Standardization,Beauty,493.71,170.21,899,49
32,Synergized Secondary Archive,Clothing,247.05,97.92,87,72
33,Robust Scalable Concept,Home,817.85,565.29,131,94
34,Public-Key Upward-Trending Encryption,Books,480.52,249.83,540,87
35,Diverse Maximized Implementation,Sports,428.90,165.01,730,49
36,Future-Proofed Scalable Solution,Beauty,404.99,230.31,448,76
37,Realigned Directional Software,Clothing,456.96,182.40,346,12
38,Inverse Zero Administration Time-Frame,Sports,592.42,232.26,7,19
39,Centralized Discrete Alliance,Clothing,710.75,229.96,927,14
40,Intuitive Impactful Flexibility,Sports,861.03,282.71,285,95
41,Cloned Didactic Open System,Toys,490.55,252.97,248,70
42,Universal Foreground Data-Warehouse,Clothing,809.41,304.47,674,65
43,Streamlined Modular Infrastructure,Electronics,360.74,167.54,689,93
44,Stand-Alone Logistical Circuit,Food,984.31,334.04,745,53
45,Fundamental Client-Driven Encryption,Sports,802.58,275.85,194,78
46,User-Friendly Next Generation Monitoring,Books,454.12,212.87,473,41
47,Fundamental Value-Added Paradigm,Clothing,875.73,289.13,51,93
48,Optimized Optimal Initiative,Clothing,999.28,633.95,948,40
49,Multi-Lateral Directional Challenge,Sports,174.64,86.32,885,61
50,Profound Modular Array,Electronics,903.41,330.52,399,43
51,Versatile Actuating Budgetary Management,Books,927.24,569.37,433,99
52,Distributed Responsive Complexity,Toys,957.73,668.66,158,34
53,Synergized Interactive Policy,Electronics,303.73,208.81,765,50
54,Cloned Human-Resource Implementation,Home,66.58,35.53,58,75
55,Right-Sized Maximized Moderator,Clothing,89.30,33.43,691,40
56,Function-Based Neutral Access,Sports,409.73,277.24,592,86
57,Synergized Uniform Budgetary Management,Beauty,49.33,16.42,957,43
58,Synergized National System Engine,Sports,212.21,124.46,271,60
59,Future-Proofed Zero Administration Project,Toys,139.56,77.90,323,19
60,Mandatory Bifurcated Frame,Clothing,19.21,10.54,75,78
61,Optional Cohesive Knowledgebase,Beauty,221.01,89.75,902,18
62,Adaptive Uniform Success,Home,880.47,394.28,448,79
63,Fundamental Motivating Task-Force,Electronics,706.49,384.80,683,80
64,Enhanced Motivating Benchmark,Home,306.37,173.21,270,24
65,Self-Enabling Exuding Productivity,Home,890.81,531.78,278,46
66,Profit-Focused Real-Time Customer Loyalty,Sports,608.77,357.38,703,91
67,Distributed Holistic Task-Force,Books,854.37,429.03,927,16
68,Diverse Needs-Based Time-Frame,Books,101.37,47.59,45,10
69,Progressive 24Hour Policy,Books,340.21,119.87,165,66
70,Inverse Mobile Adapter,Electronics,556.15,261.99,114,19
71,Customizable High-Level Workforce,Home,945.59,545.05,558,14
72,Integrated Disintermediate Approach,Home,836.24,445.72,440,26
73,Front-Line Non-Volatile Artificial Intelligence,Electronics,51.40,22.92,920,55
74,Configurable Upward-Trending Matrix,Clothing,217.97,87.15,362,81
75,Cloned Well-Modulated Monitoring,Home,885.28,409.49,947,40
76,Visionary Clear-Thinking Capacity,Home,865.95,597.92,902,62
77,Switchable Methodical Neural-Net,Beauty,34.53,20.53,801,62
78,Down-Sized Empowering Moderator,Sports,804.20,519.21,273,30
79,Robust Interactive Data-Warehouse,Electronics,789.49,270.98,879,70
80,Quality-Focused Web-Enabled Superstructure,Toys,230.20,144.25,358,49
81,Team-Oriented Dedicated Structure,Sports,822.32,533.30,24,94
82,Integrated Impactful Secured Line,Clothing,201.19,86.77,990,45
83,Streamlined Holistic Intranet,Beauty,357.62,180.16,961,13
84,Programmable Local Capability,Home,124.18,85.46,594,43
85,Fully-Configurable Directional Architecture,Beauty,47.86,25.78,746,50
86,Mandatory 3Rdgeneration Parallelism,Clothing,442.02,306.63,394,83
87,Reactive Discrete Parallelism,Food,198.17,62.97,1,76
88,Face-To-Face 24Hour Archive,Sports,926.31,477.40,372,65
89,Triple-Buffered Responsive Approach,Beauty,79.26,44.84,638,50
90,Focused Asymmetric Alliance,Books,666.74,233.26,519,49
91,Managed Asynchronous Migration,Books,670.21,288.51,567,26
92,Front-Line Even-Keeled Secured Line,Food,199.91,113.14,693,32
93,Pre-Emptive Didactic Moratorium,Electronics,619.35,260.36,311,46
94,De-Engineered Uniform Orchestration,Beauty,218.07,133.96,476,66
95,Re-Engineered Methodical Encryption,Toys,447.73,172.59,812,31
96,Phased Incremental Core,Beauty,662.25,273.85,95,40
97,Cross-Platform Bandwidth-Monitored Protocol,Sports,676.06,263.57,150,13
98,Optional Heuristic Interface,Clothing,55.74,38.66,466,63
99,Open-Source Maximized Superstructure,Food,887.27,470.49,506,61
100,Business-Focused Systematic Projection,Electronics,251.53,141.47,914,23
101,Stand-Alone Bandwidth-Monitored Approach,Toys,780.63,302.52,51,81
102,Open-Architected Upward-Trending Graphical User Interface,Toys,256.70,164.12,136,69
103,Customer-Focused Dynamic Core,Beauty,670.89,466.37,972,66
104,Ergonomic National Knowledge User,Food,616.52,362.33,850,80
105,Devolved Interactive Contingency,Toys,451.44,164.17,460,43
106,Grass-Roots Maximized Encryption,Books,754.25,479.66,784,76
107,Compatible Leadingedge Workforce,Toys,489.74,193.79,79,46
